2016-04-26 09:01:35,658 | INFO  | Listening for connections at ws://Dell:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2016-04-26 09:01:35,659 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-26 09:01:35,665 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-64353-1461654094934-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-26 09:01:35,668 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-26 09:01:36,597 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2016-04-26 09:01:37,094 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2016-04-26 09:01:37,095 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2016-04-26 09:01:37,228 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2016-04-26 09:01:37,663 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2016-04-26 09:01:38,055 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2016-04-26 09:22:53,730 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1666400066-50
2016-04-26 09:55:36,916 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | org.eclipse.jetty.server.session.HashSessionManager@50ff541bTimer
2016-04-26 10:34:37,221 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:49803 failed: java.io.IOException: Frame size of 1140 MB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:49803@61616
2016-04-26 10:34:47,140 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:49804 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:49804@61616
2016-04-26 15:50:46,249 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-64353-1461654094934-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-30
2016-04-26 15:50:46,260 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-26 15:50:46,260 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-26 15:50:46,263 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-26 15:50:46,265 | ERROR | Could not accept connection : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-26 15:50:46,268 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-26 15:50:46,273 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-26 15:50:46,273 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-26 15:50:46,278 | ERROR | Could not accept connection : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-26 15:50:46,288 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-30
2016-04-26 15:50:46,298 | INFO  | PListStore:[C:\Users\Dell1\git\BTalk\jms-broker\apache-activemq-5.13.0\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-30
2016-04-26 15:50:46,300 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2016-04-26 15:50:46,301 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2016-04-26 15:50:46,303 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-30
2016-04-26 15:50:46,563 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-64353-1461654094934-0:1) uptime 6 hours 49 minutes | org.apache.activemq.broker.BrokerService | Thread-30
2016-04-26 15:50:46,565 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-64353-1461654094934-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-30
2016-04-26 15:50:46,567 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@788b783e: startup date [Tue Apr 26 09:01:32 CEST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-30
2016-04-26 15:50:46,583 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-30
2016-04-26 15:51:34,685 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5da58496: startup date [Tue Apr 26 15:51:34 CEST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2016-04-26 15:51:36,064 | INFO  | PListStore:[C:\Users\Dell1\git\BTalk\jms-broker\apache-activemq-5.13.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2016-04-26 15:51:36,091 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Dell1\git\BTalk\jms-broker\apache-activemq-5.13.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-26 15:51:36,476 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-04-26 15:51:36,495 | INFO  | Recovering from the journal @1:57743 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-04-26 15:51:36,620 | INFO  | Recovery replayed 4866 operations from the journal in 0.135 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-04-26 15:51:36,781 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-56865-1461678696646-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-26 15:51:36,853 | INFO  | Listening for connections at: tcp://Dell:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-26 15:51:36,856 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-26 15:51:36,868 | INFO  | Listening for connections at: amqp://Dell:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-26 15:51:36,872 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-26 15:51:36,884 | INFO  | Listening for connections at: stomp://Dell:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-26 15:51:36,890 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-26 15:51:36,922 | INFO  | Listening for connections at: mqtt://Dell:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-04-26 15:51:36,930 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-26 15:51:37,671 | INFO  | Listening for connections at ws://Dell:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2016-04-26 15:51:37,672 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-04-26 15:51:37,682 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-56865-1461678696646-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-26 15:51:37,686 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-04-26 15:51:39,376 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2016-04-26 15:51:39,895 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2016-04-26 15:51:39,896 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2016-04-26 15:51:40,184 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2016-04-26 15:51:40,939 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2016-04-26 15:51:41,152 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2016-04-27 09:36:44,612 | WARN  | Transport Connection to: tcp://127.0.0.1:53046 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:53046@61616
2016-04-27 09:38:01,758 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp115038515-75
2016-04-27 10:08:27,204 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | org.eclipse.jetty.server.session.HashSessionManager@7c9a5617Timer
2016-04-27 11:22:25,223 | WARN  | Transport Connection to: tcp://127.0.0.1:54364 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54364@61616
2016-04-27 13:48:25,729 | INFO  | Apache ActiveMQ 5.13.0 (localhost, ID:Dell-56865-1461678696646-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-30
2016-04-27 13:48:25,739 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2016-04-27 13:48:25,745 | ERROR | Could not accept connection : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
